Set,Number,Name,Cost,Ink,Type,Rarity,Str,Will,Lore,Classification,Franchise,Std Price,Foil Price
The First Chapter,25/204,Be Our Guest,2,Amber,Action,Uncommon,,,,,Beauty and the Beast,$0.26,$3.77
The First Chapter,3/204,Cinderella - Gentle and Kind,4,Amber,Character,Uncommon,2,5,2,Gentle and Kind,Cinderella,$0.15,$2.45
The First Chapter,26/204,Control Your Temper!,1,Amber,Action,Common,,,,,Beauty and the Beast,$0.08,$0.31
The First Chapter,32/204,Dinglehopper,1,Amber,Item,Common,,,,,Little Mermaid,$0.08,$0.39
The First Chapter,4/204,Goofy - Musketeer,5,Amber,Character,Uncommon,3,6,1,Musketeer,Standard Characters,$0.51,$1.91
The First Chapter,5/204,Hades - King of Olympus,8,Amber,Character,Rare,6,7,1,King of Olympus,Hercules,$0.78,$0.78
The First Chapter,6/204,Hades - Lord of the Underworld,4,Amber,Character,Rare,3,2,1,Lord of the Underworld,Hercules,$1.36,$7.39
The First Chapter,27/204,Hakuna Matata,4,Amber,Action,Common,,,,,Lion King,$0.12,$0.66
The First Chapter,28/204,Healing Glow,1,Amber,Action,Common,,,,,Tangled,$0.13,$0.31
The First Chapter,7/204,Heihei - Boat Snack,1,Amber,Character,Common,1,2,1,Boat Snack,Moana,$0.07,$0.68
The First Chapter,29/204,Just in Time,3,Amber,Action,Rare,,,,,Moana,$2.42,$4.38
The First Chapter,33/204,Lantern,2,Amber,Item,Rare,,,,,Tangled,$4.54,$7.11
The First Chapter,8/204,Lefou - Bumbler,2,Amber,Character,Uncommon,1,2,2,Bumbler,Beauty and the Beast,$0.32,$1.54
The First Chapter,9/204,Lilo - Making a Wish,1,Amber,Character,Rare,1,1,2,Making a Wish,Lilo and Stitch,$10.19,$17.43
The First Chapter,10/204,Maximus - Palace Horse,5,Amber,Character,Super Rare,4,5,1,Palace Horse,Tangled,$2.80,$5.71
The First Chapter,11/204,Maximus - Relentless Pursuer,3,Amber,Character,Uncommon,3,3,1,Relentless Pursuer,Tangled,$0.13,$0.87
The First Chapter,12/204,Mickey Mouse - True Friend,3,Amber,Character,Uncommon,3,3,2,True Friend,Standard Characters,$0.19,$1.83
The First Chapter,13/204,Minnie Mouse - Beloved Princess,2,Amber,Character,Common,2,3,1,Beloved Princess,Standard Characters,$0.10,$1.28
The First Chapter,14/204,Moana - Of Motunui,5,Amber,Character,Rare,1,6,3,Of Motunui,Moana,$1.18,$1.21
The First Chapter,15/204,Mr. Smee - Loyal First Mate,3,Amber,Character,Common,2,5,1,Loyal First Mate,Peter Pan,$0.13,$0.59
The First Chapter,30/204,Part of Your World,3,Amber,Action,Rare,,,,,Little Mermaid,$0.68,$4.56
The First Chapter,16/204,Prince Phillip - Dragonslayer,4,Amber,Character,Uncommon,3,3,2,Dragonslayer,Sleeping Beauty,$0.22,$1.02
The First Chapter,17/204,Pumbaa - Friendly Warthog,4,Amber,Character,Common,3,5,1,Friendly Warthog,Lion King,$0.13,$0.46
The First Chapter,18/204,Rapunzel - Gifted with Healing,4,Amber,Character,Legendary,1,5,2,Gifted with Healing,Tangled,$57.36,$106.91
The First Chapter,19/204,Sebastian - Court Composer,2,Amber,Character,Common,2,2,1,Court Composer,Little Mermaid,$0.15,$0.80
The First Chapter,20/204,Simba - Protective Cub,2,Amber,Character,Common,2,3,1,Protective Cub,Lion King,$0.91,$2.51
The First Chapter,21/204,Stitch - Carefree Surfer,7,Amber,Character,Legendary,4,8,2,Carefree Surfer,Lilo and Stitch,$26.53,$72.53
The First Chapter,22/204,Stitch - New Dog,1,Amber,Character,Common,2,2,1,New Dog,Lilo and Stitch,$0.18,$2.21
The First Chapter,23/204,Stitch - Rock Star,6,Amber,Character,Super Rare,3,5,3,Rock Star,Lilo and Stitch,$12.96,$21.74
The First Chapter,24/204,Timon - Grub Rustler,1,Amber,Character,Common,1,2,1,Grub Rustler,Lion King,$0.13,$0.56
The First Chapter,34/204,Ursula's Shell Necklace,3,Amber,Item,Rare,,,,,Little Mermaid,$0.90,$3.18
The First Chapter,31/204,You Have Forgotten Me,4,Amber,Action,Uncommon,,,,,Lion King,$0.90,$4.17
The First Chapter,35/204,Anna - Heir to Arendelle,4,Amethyst,Character,Uncommon,2,4,2,Heir to Arendelle,Frozen,$0.29,$1.48
The First Chapter,36/204,Archimedes - Highly Educated Owl,1,Amethyst,Character,Common,2,2,1,Highly Educated Owl,Sword in the Stone,$0.22,$1.07
The First Chapter,62/204,Befuddle,1,Amethyst,Action,Uncommon,,,,,Sword in the Stone,$0.61,$2.72
The First Chapter,37/204,Dr. Facilier - Agent Provocateur,7,Amethyst,Character,Rare,4,5,3,Agent Provocateur,Princess and the Frog,$0.87,$4.43
The First Chapter,38/204,Dr. Facilier - Charlatan,2,Amethyst,Character,Common,0,4,1,Charlatan,Princess and the Frog,$0.13,$0.61
The First Chapter,39/204,Dr. Facilier - Remarkable Gentleman,3,Amethyst,Character,Rare,2,4,1,Remarkable Gentleman,Princess and the Frog,$1.12,$2.29
The First Chapter,40/204,Elsa - Queen Regent,4,Amethyst,Character,Common,4,4,1,Queen Regent,Frozen,$0.15,$0.83
The First Chapter,41/204,Elsa - Snow Queen,3,Amethyst,Character,Uncommon,2,3,1,Snow Queen,Frozen,$1.10,$6.22
The First Chapter,42/204,Elsa - Spirit of Winter,8,Amethyst,Character,Legendary,4,6,3,Spirit of Winter,Frozen,$36.74,$86.17
The First Chapter,43/204,Flotsam - Ursula's Spy,5,Amethyst,Character,Rare,3,4,2,Ursula's Spy,Little Mermaid,$0.28,$1.84
The First Chapter,63/204,Freeze,2,Amethyst,Action,Common,,,,,Frozen,$0.14,$0.60
The First Chapter,64/204,Friends on the Other Side,3,Amethyst,Action,Common,,,,,Princess and the Frog,$0.21,$3.81
The First Chapter,44/204,Jafar - Keeper of Secrets,4,Amethyst,Character,Rare,0,5,2,Keeper of Secrets,Aladdin,$1.65,$4.48
The First Chapter,45/204,Jafar - Wicked Sorcerer,4,Amethyst,Character,Common,2,5,1,Wicked Sorcerer,Aladdin,$0.10,$0.53
The First Chapter,46/204,Jetsam - Ursula's Spy,4,Amethyst,Character,Common,3,3,1,Ursula's Spy,Little Mermaid,$0.10,$0.74
The First Chapter,47/204,Magic Broom - Bucket Brigade,2,Amethyst,Character,Common,2,2,1,Bucket Brigade,Fantasia,$0.15,$2.31
The First Chapter,66/204,Magic Mirror,2,Amethyst,Item,Rare,,,,,Snow White,$2.37,$7.86
The First Chapter,48/204,Maleficent - Biding Her Time,1,Amethyst,Character,Rare,1,1,2,Biding Her Time,Sleeping Beauty,$5.67,$7.71
The First Chapter,49/204,Maleficent - Sorceress,3,Amethyst,Character,Common,2,2,1,Sorceress,Sleeping Beauty,$0.37,$3.19
The First Chapter,50/204,Marshmallow - Persistent Guardian,6,Amethyst,Character,Super Rare,5,5,1,Persistent Guardian,Frozen,$0.69,$2.27
The First Chapter,51/204,Mickey Mouse - Wayward Sorcerer,4,Amethyst,Character,Super Rare,3,4,2,Wayward Sorcerer,Standard Characters,$1.86,$2.34
The First Chapter,52/204,Olaf - Friendly Snowman,1,Amethyst,Character,Uncommon,1,3,1,Friendly Snowman,Frozen,$0.15,$4.05
The First Chapter,53/204,Pascal - Rapunzel's Companion,1,Amethyst,Character,Uncommon,1,1,1,Rapunzel's Companion,Tangled,$0.25,$2.03
The First Chapter,54/204,Rafiki - Mysterious Sage,3,Amethyst,Character,Uncommon,3,3,1,Mysterious Sage,Lion King,$0.18,$4.17
The First Chapter,65/204,Reflection,1,Amethyst,Action,Uncommon,,,,,Mulan,$0.20,$1.72
The First Chapter,55/204,Sven - Official Ice Deliverer,6,Amethyst,Character,Uncommon,5,7,1,Official Ice Deliverer,Frozen,$0.12,$0.82
The First Chapter,56/204,The Queen - Wicked and Vain,5,Amethyst,Character,Super Rare,4,5,1,Wicked and Vain,Snow White,$4.85,$10.96
The First Chapter,57/204,The Wardrobe - Belle's Confidant,3,Amethyst,Character,Common,3,4,1,Belle's Confidant,Beauty and the Beast,$0.08,$0.49
The First Chapter,58/204,Tinker Bell - Peter Pan's Ally,5,Amethyst,Character,Common,3,3,2,Peter Pan's Ally,Peter Pan,$0.15,$0.59
The First Chapter,59/204,Ursula - Power Hungry,7,Amethyst,Character,Legendary,2,8,3,Power Hungry,Little Mermaid,$17.03,$34.28
The First Chapter,67/204,Ursula's Cauldron,2,Amethyst,Item,Uncommon,,,,,Little Mermaid,$0.51,$2.53
The First Chapter,68/204,White Rabbit's Pocket Watch,3,Amethyst,Item,Rare,,,,,Alice in Wonderland,$2.33,$5.50
The First Chapter,60/204,Yzma - Alchemist,2,Amethyst,Character,Common,2,2,1,Alchemist,Emperor's New Groove,$0.10,$0.51
The First Chapter,61/204,Zeus - God of Lightning,4,Amethyst,Character,Rare,0,4,2,God of Lightning,Hercules,$1.46,$5.12
The First Chapter,69/204,Aladdin - Prince Ali,2,Emerald,Character,Common,2,2,1,Prince Ali,Aladdin,$0.07,$0.44
The First Chapter,70/204,Beast - Wolfsbane,5,Emerald,Character,Legendary,4,4,2,Wolfsbane,Beauty and the Beast,$6.46,$24.89
The First Chapter,71/204,Cheshire Cat - Not All There,3,Emerald,Character,Uncommon,0,3,2,Not All There,Alice in Wonderland,$2.37,$4.90
The First Chapter,72/204,Cruella de Vil - Miserable as Usual,2,Emerald,Character,Rare,1,3,1,Miserable as Usual,101 Dalmatians,$0.76,$0.73
The First Chapter,94/204,Do It Again!,3,Emerald,Action,Rare,,,,,Cinderella,$0.76,$1.74
The First Chapter,101/204,Dr. Facilier's Cards,2,Emerald,Item,Uncommon,,,,,Princess and the Frog,$0.22,$0.86
The First Chapter,73/204,Duke of Weselton - Opportunistic Official,1,Emerald,Character,Common,2,2,1,Opportunistic Official,Frozen,$0.08,$0.59
The First Chapter,74/204,Flynn Rider - Charming Rogue,2,Emerald,Character,Uncommon,1,2,2,Charming Rogue,Tangled,$2.83,$5.06
The First Chapter,75/204,Genie - On the Job,6,Emerald,Character,Super Rare,3,4,2,On the Job,Aladdin,$4.23,$7.08
The First Chapter,76/204,Genie - Powers Unleashed,8,Emerald,Character,Rare,3,5,3,Powers Unleashed,Aladdin,$1.22,$2.65
The First Chapter,77/204,Genie - The Ever Impressive,2,Emerald,Character,Common,2,3,1,The Ever Impressive,Aladdin,$0.16,$0.56
The First Chapter,78/204,Hans - Scheming Prince,4,Emerald,Character,Rare,3,3,3,Scheming Prince,Frozen,$9.56,$11.36
The First Chapter,79/204,Horace - No-Good Scoundrel,3,Emerald,Character,Common,4,3,1,No-Good Scoundrel,101 Dalmatians,$0.06,$0.33
The First Chapter,80/204,Iago - Loud-Mouthed Parrot,3,Emerald,Character,Rare,1,4,1,Loud-Mouthed Parrot,Aladdin,$0.32,$1.52
The First Chapter,81/204,Jasper - Common Crook,3,Emerald,Character,Uncommon,2,4,1,Common Crook,101 Dalmatians,$0.22,$1.69
The First Chapter,82/204,John Silver - Alien Pirate,6,Emerald,Character,Legendary,5,5,2,Alien Pirate,Treasure Planet,$23.05,$33.47
The First Chapter,83/204,Jumba Jookiba - Renegade Scientist,5,Emerald,Character,Uncommon,4,5,2,Renegade Scientist,Lilo and Stitch,$0.18,$0.73
The First Chapter,84/204,Kuzco - Temperamental Emperor,5,Emerald,Character,Rare,2,4,3,Temperamental Emperor,Emperor's New Groove,$18.71,$22.18
The First Chapter,85/204,Lady Tremaine - Wicked Stepmother,6,Emerald,Character,Rare,1,5,1,Wicked Stepmother,Cinderella,$0.64,$2.45
The First Chapter,86/204,Mad Hatter - Gracious Host,5,Emerald,Character,Uncommon,2,4,3,Gracious Host,Alice in Wonderland,$0.22,$2.83
The First Chapter,87/204,Megara - Pulling the Strings,2,Emerald,Character,Common,2,1,1,Pulling the Strings,Hercules,$0.10,$0.72
The First Chapter,88/204,Mickey Mouse - Artful Rogue,7,Emerald,Character,Super Rare,6,5,2,Artful Rogue,Standard Characters,$1.23,$4.06
The First Chapter,89/204,Mickey Mouse - Steamboat Pilot,3,Emerald,Character,Common,3,4,1,Steamboat Pilot,Standard Characters,$0.10,$1.84
The First Chapter,90/204,Mother Gothel - Selfish Manipulator,6,Emerald,Character,Super Rare,3,6,2,Selfish Manipulator,Tangled,$3.22,$5.40
The First Chapter,95/204,Mother Knows Best,3,Emerald,Action,Uncommon,,,,,Tangled,$0.20,$1.45
The First Chapter,91/204,Peter Pan - Never Landing,3,Emerald,Character,Common,3,2,1,Never Landing,Peter Pan,$0.12,$0.60
The First Chapter,96/204,Stampede,1,Emerald,Action,Common,,,,,Lion King,$0.08,$0.38
The First Chapter,97/204,Steal From The Rich,5,Emerald,Action,Rare,,,,,Robin Hood,$0.33,$1.49
The First Chapter,102/204,Stolen Scimitar,2,Emerald,Item,Common,,,,,Aladdin,$0.04,$0.32
The First Chapter,98/204,Sudden Chill,2,Emerald,Action,Common,,,,,101 Dalmatians,$0.14,$0.69
The First Chapter,92/204,Tamatoa - Drab Little Crab,2,Emerald,Character,Uncommon,1,4,1,Drab Little Crab,Moana,$0.25,$0.80
The First Chapter,99/204,The Beast is Mine!,3,Emerald,Action,Uncommon,,,,,Beauty and the Beast,$0.20,$0.87
The First Chapter,93/204,Tinker Bell - Most Helpful,4,Emerald,Character,Common,2,3,2,Most Helpful,Peter Pan,$0.72,$1.68
The First Chapter,100/204,Vicious Betrayal,1,Emerald,Action,Common,,,,,Lion King,$0.07,$0.53
The First Chapter,103/204,Abu - Mischievous Monkey,3,Ruby,Character,Common,3,2,2,Mischievous Monkey,Aladdin,$0.16,$0.43
The First Chapter,104/204,Aladdin - Heroic Outlaw,7,Ruby,Character,Super Rare,5,5,2,Heroic Outlaw,Aladdin,$3.27,$3.08
The First Chapter,105/204,Aladdin - Street Rat,3,Ruby,Character,Common,2,2,1,Street Rat,Aladdin,$0.12,$1.85
The First Chapter,128/204,Be Prepared,7,Ruby,Action,Rare,,,,,Lion King,$9.45,$14.69
The First Chapter,106/204,Captain - Colonel's Lieutenant,5,Ruby,Character,Uncommon,6,5,1,Colonel's Lieutenant,101 Dalmatians,$0.06,$0.74
The First Chapter,107/204,Captain Hook - Ruthless Pirate,7,Ruby,Character,Rare,5,5,2,Ruthless Pirate,Peter Pan,$0.57,$1.29
The First Chapter,129/204,Cut to the Chase,2,Ruby,Action,Uncommon,,,,,Standard Characters,$0.17,$0.71
The First Chapter,108/204,Donald Duck - Boisterous Fowl,2,Ruby,Character,Uncommon,2,3,1,Boisterous Fowl,Standard Characters,$0.11,$0.84
The First Chapter,130/204,Dragon Fire,5,Ruby,Action,Uncommon,,,,,Sleeping Beauty,$0.23,$5.45
The First Chapter,109/204,Elsa - Ice Surfer,4,Ruby,Character,Common,3,4,1,Ice Surfer,Frozen,$0.12,$0.47
The First Chapter,131/204,Fan the Flames,1,Ruby,Action,Uncommon,,,,,Beauty and the Beast,$0.22,$0.69
The First Chapter,110/204,Gaston - Arrogant Hunter,2,Ruby,Character,Common,4,2,,Arrogant Hunter,Beauty and the Beast,$0.28,$1.21
The First Chapter,111/204,Goofy - Daredevil,5,Ruby,Character,Common,3,4,2,Daredevil,Standard Characters,$0.31,$1.18
The First Chapter,132/204,He's Got A Sword!,1,Ruby,Action,Common,,,,,Aladdin,$0.05,$0.41
The First Chapter,112/204,Lefou - Instigator,2,Ruby,Character,Rare,2,2,1,Instigator,Beauty and the Beast,$1.13,$3.53
The First Chapter,113/204,Maleficent - Monstrous Dragon,9,Ruby,Character,Legendary,7,5,2,Monstrous Dragon,Sleeping Beauty,$34.82,$71.28
The First Chapter,114/204,Maui - Hero to All,5,Ruby,Character,Rare,6,5,,Hero to All,Moana,$5.76,$10.68
The First Chapter,115/204,Mickey Mouse - Brave Little Tailor,8,Ruby,Character,Legendary,5,5,4,Brave Little Tailor,Standard Characters,$18.77,$69.23
The First Chapter,116/204,Minnie Mouse - Always Classy,1,Ruby,Character,Common,1,3,1,Always Classy,Standard Characters,$0.14,$1.05
The First Chapter,117/204,Moana - Chosen by the Ocean,5,Ruby,Character,Uncommon,2,6,2,Chosen by the Ocean,Moana,$0.22,$0.74
The First Chapter,118/204,Mulan - Imperial Soldier,5,Ruby,Character,Super Rare,4,5,1,Imperial Soldier,Mulan,$0.91,$1.19
The First Chapter,119/204,Peter Pan - Fearless Fighter,3,Ruby,Character,Common,3,2,1,Fearless Fighter,Peter Pan,$0.12,$0.47
The First Chapter,134/204,Poisoned Apple,3,Ruby,Item,Rare,,,,,Snow White,$0.64,$3.15
The First Chapter,120/204,Pongo - Ol' Rascal,4,Ruby,Character,Common,2,3,2,Ol' Rascal,101 Dalmatians,$0.11,$0.83
The First Chapter,121/204,Rapunzel - Letting Down Her Hair,6,Ruby,Character,Uncommon,5,4,2,Letting Down Her Hair,Tangled,$0.11,$1.12
The First Chapter,122/204,Scar - Fiery Usurper,4,Ruby,Character,Common,5,3,1,Fiery Usurper,Lion King,$0.07,$0.50
The First Chapter,123/204,Scar - Shameless Firebrand,8,Ruby,Character,Rare,6,6,1,Shameless Firebrand,Lion King,$0.50,$1.71
The First Chapter,124/204,Sergeant Tibbs - Courageous Cat,1,Ruby,Character,Common,2,2,1,Courageous Cat,101 Dalmatians,$0.07,$0.85
The First Chapter,135/204,Shield of Virtue,1,Ruby,Item,Uncommon,,,,,Sleeping Beauty,$0.20,$2.34
The First Chapter,125/204,Stitch - Abomination,6,Ruby,Character,Rare,4,6,3,Abomination,Lilo and Stitch,$0.33,$2.64
The First Chapter,136/204,Sword of Truth,4,Ruby,Item,Rare,,,,,Sleeping Beauty,$0.50,$1.74
The First Chapter,133/204,Tangle,2,Ruby,Action,Common,,,,,Tangled,$0.14,$0.44
The First Chapter,126/204,Te Ka - The Burning One,6,Ruby,Character,Super Rare,8,6,,The Burning One,Moana,$0.65,$2.09
The First Chapter,127/204,Tigger - Wonderful Thing,6,Ruby,Character,Uncommon,4,4,2,Wonderful Thing,Winnie the Pooh,$0.33,$1.93
The First Chapter,137/204,Ariel - Whoseit Collector,4,Sapphire,Character,Rare,3,3,1,Whoseit Collector,Little Mermaid,$1.50,$6.00
The First Chapter,138/204,Aurora - Briar Rose,4,Sapphire,Character,Common,2,5,1,Briar Rose,Sleeping Beauty,$0.06,$0.43
The First Chapter,139/204,Aurora - Dreaming Guardian,5,Sapphire,Character,Super Rare,3,5,2,Dreaming Guardian,Sleeping Beauty,$2.31,$2.52
The First Chapter,140/204,Aurora - Regal Princess,2,Sapphire,Character,Uncommon,2,2,2,Regal Princess,Sleeping Beauty,$0.18,$2.04
The First Chapter,141/204,Belle - Inventive Engineer,3,Sapphire,Character,Uncommon,2,3,2,Inventive Engineer,Beauty and the Beast,$0.42,$1.91
The First Chapter,142/204,Belle - Strange but Special,4,Sapphire,Character,Legendary,2,4,1,Strange but Special,Beauty and the Beast,$31.60,$58.76
The First Chapter,143/204,Chief Tui - Respected Leader,7,Sapphire,Character,Uncommon,3,6,3,Respected Leader,Moana,$0.19,$0.60
The First Chapter,166/204,Coconut Basket,2,Sapphire,Item,Uncommon,,,,,Moana,$0.07,$0.79
The First Chapter,161/204,Develop Your Brain,1,Sapphire,Action,Common,,,,,Sword in the Stone,$0.12,$1.23
The First Chapter,144/204,Donald Duck - Strutting His Stuff,5,Sapphire,Character,Common,4,3,2,Strutting His Stuff,Standard Characters,$0.15,$0.60
The First Chapter,167/204,Eye of the Fates,4,Sapphire,Item,Uncommon,,,,,Hercules,$0.89,$2.17
The First Chapter,168/204,Fishbone Quill,3,Sapphire,Item,Rare,,,,,Little Mermaid,$3.42,$6.59
The First Chapter,145/204,Flounder - Voice of Reason,1,Sapphire,Character,Common,2,2,1,Voice of Reason,Little Mermaid,$0.09,$0.68
The First Chapter,146/204,Gramma Tala - Storyteller,2,Sapphire,Character,Uncommon,1,1,1,Storyteller,Moana,$0.21,$2.71
The First Chapter,147/204,Hades - Infernal Schemer,7,Sapphire,Character,Legendary,3,6,2,Infernal Schemer,Hercules,$29.83,$46.19
The First Chapter,162/204,If It's Not Baroque,3,Sapphire,Action,Rare,,,,,Beauty and the Beast,$0.49,$1.45
The First Chapter,148/204,Jasmine - Disguised,3,Sapphire,Character,Common,3,3,2,Disguised,Aladdin,$0.11,$0.76
The First Chapter,149/204,Jasmine - Queen of Agrabah,5,Sapphire,Character,Rare,2,5,2,Queen of Agrabah,Aladdin,$2.89,$7.59
The First Chapter,163/204,Let It Go,5,Sapphire,Action,Rare,,,,,Frozen,$9.22,$13.62
The First Chapter,169/204,Magic Golden Flower,1,Sapphire,Item,Common,,,,,Tangled,$0.10,$0.58
The First Chapter,150/204,Maleficent - Sinister Visitor,4,Sapphire,Character,Common,3,4,2,Sinister Visitor,Sleeping Beauty,$0.06,$0.43
The First Chapter,151/204,Maleficent - Uninvited,5,Sapphire,Character,Rare,3,6,3,Uninvited,Sleeping Beauty,$1.13,$4.82
The First Chapter,152/204,Maurice - World-Famous Inventor,6,Sapphire,Character,Rare,2,7,2,World-Famous Inventor,Beauty and the Beast,$2.22,$4.03
The First Chapter,153/204,Merlin - Self-Appointed Mentor,4,Sapphire,Character,Common,3,4,1,Self-Appointed Mentor,Sword in the Stone,$0.15,$0.46
The First Chapter,154/204,Mickey Mouse - Detective,3,Sapphire,Character,Common,1,3,1,Detective,Standard Characters,$0.13,$1.51
The First Chapter,155/204,Mufasa - King of the Pride Lands,6,Sapphire,Character,Common,4,6,3,King of the Pride Lands,Lion King,$0.10,$0.62
The First Chapter,164/204,One Jump Ahead,2,Sapphire,Action,Uncommon,,,,,Aladdin,$0.24,$2.04
The First Chapter,156/204,Philoctetes - Trainer of Heroes,2,Sapphire,Character,Common,3,1,1,Trainer of Heroes,Hercules,$0.17,$0.95
The First Chapter,157/204,Robin Hood - Unrivaled Archer,6,Sapphire,Character,Super Rare,4,4,2,Unrivaled Archer,Robin Hood,$4.20,$8.66
The First Chapter,158/204,Scar - Mastermind,6,Sapphire,Character,Rare,5,4,2,Mastermind,Lion King,$0.23,$1.75
The First Chapter,170/204,Scepter of Arendelle,1,Sapphire,Item,Uncommon,,,,,Frozen,$0.28,$1.00
The First Chapter,159/204,Tamatoa - So Shiny!,8,Sapphire,Character,Super Rare,5,8,1,So Shiny!,Moana,$2.33,$7.04
The First Chapter,160/204,Triton - The Sea King,7,Sapphire,Character,Uncommon,5,9,2,The Sea King,Little Mermaid,$0.21,$0.85
The First Chapter,165/204,Work Together,1,Sapphire,Action,Common,,,,,Emperor's New Groove,$0.10,$0.48
The First Chapter,195/204,A Whole New World,5,Steel,Action,Super Rare,,,,,Aladdin,$14.21,$21.41
The First Chapter,171/204,Aladdin - Cornered Swordsman,2,Steel,Character,Common,2,1,2,Cornered Swordsman,Aladdin,$0.20,$0.59
The First Chapter,172/204,Beast - Hardheaded,5,Steel,Character,Uncommon,4,4,2,Hardheaded,Beauty and the Beast,$0.22,$3.82
The First Chapter,201/204,Beast's Mirror,2,Steel,Item,Common,,,,,Beauty and the Beast,$0.26,$1.53
The First Chapter,196/204,Break,2,Steel,Action,Common,,,,,Beauty and the Beast,$0.12,$0.34
The First Chapter,173/204,Captain Hook - Captain of the Jolly Roger,4,Steel,Character,Rare,3,4,1,Captain of the Jolly Roger,Peter Pan,$1.40,$3.75
The First Chapter,174/204,Captain Hook - Forceful Duelist,1,Steel,Character,Common,1,2,1,Forceful Duelist,Peter Pan,$0.16,$2.38
The First Chapter,175/204,Captain Hook - Thinking a Happy Thought,5,Steel,Character,Rare,2,5,1,Thinking a Happy Thought,Peter Pan,$1.63,$6.38
The First Chapter,176/204,Cerberus - Three-Headed Dog,5,Steel,Character,Common,5,6,1,Three-Headed Dog,Hercules,$0.16,$0.91
The First Chapter,177/204,Donald Duck - Musketeer,4,Steel,Character,Uncommon,2,5,1,Musketeer,Standard Characters,$0.68,$2.24
The First Chapter,197/204,Fire the Cannons!,1,Steel,Action,Common,,,,,Peter Pan,$0.13,$1.04
The First Chapter,202/204,Frying Pan,2,Steel,Item,Uncommon,,,,,Tangled,$0.07,$0.74
The First Chapter,178/204,Gantu - Galactic Federation Captain,8,Steel,Character,Legendary,6,6,2,Galactic Federation Captain,Lilo and Stitch,$3.34,$16.00
The First Chapter,179/204,Goons - Maleficent's Underlings,1,Steel,Character,Common,2,2,1,Maleficent's Underlings,Sleeping Beauty,$0.06,$0.59
The First Chapter,198/204,Grab Your Sword,5,Steel,Action,Rare,,,,,Beauty and the Beast,$4.00,$14.31
The First Chapter,180/204,Hans - Thirteenth in Line,4,Steel,Character,Super Rare,3,3,2,Thirteenth in Line,Frozen,$4.58,$7.16
The First Chapter,181/204,Hercules - True Hero,3,Steel,Character,Common,3,3,1,True Hero,Hercules,$0.14,$0.62
The First Chapter,182/204,Kristoff - Official Ice Master,3,Steel,Character,Common,3,3,2,Official Ice Master,Frozen,$0.08,$0.52
The First Chapter,183/204,Kronk - Right-Hand Man,6,Steel,Character,Uncommon,6,6,2,Right-Hand Man,Emperor's New Groove,$0.24,$0.73
The First Chapter,184/204,Lilo - Galactic Hero,3,Steel,Character,Uncommon,4,2,2,Galactic Hero,Lilo and Stitch,$0.25,$1.13
The First Chapter,185/204,Maui - Demigod,8,Steel,Character,Rare,8,8,3,Demigod,Moana,$0.31,$1.85
The First Chapter,186/204,Mickey Mouse - Musketeer,6,Steel,Character,Rare,2,7,2,Musketeer,Standard Characters,$2.20,$5.67
The First Chapter,203/204,Musketeer Tabard,4,Steel,Item,Rare,,,,,Standard Characters,$1.12,$2.44
The First Chapter,204/204,Plasma Blaster,3,Steel,Item,Rare,,,,,Lilo and Stitch,$0.85,$2.22
